zip,latitude,longitude
65613,37.608500,-93.412600
65617,37.472800,-93.360300
65640,37.703100,-93.521600
65645,37.476700,-93.539700
65649,37.633500,-93.606400
65650,37.780300,-93.447100
65663,37.601800,-93.242000
65674,37.792300,-93.579500
65710,37.468600,-93.427500
65725,37.461500,-93.261700
65727,37.729200,-93.299400
65452,37.944600,-92.270000
65457,37.851200,-92.056900
65459,37.984800,-92.089700
65473,37.767700,-92.112000
65534,37.695300,-92.280800
65556,37.852800,-92.396200
65583,37.767600,-92.210500
65584,37.828300,-92.131000
63551,40.511200,-92.724100
63565,40.481500,-92.995100
63567,40.408400,-92.688800
64655,40.438200,-93.286700
64672,40.549200,-93.300200
63436,39.515400,-91.539800
63459,39.591700,-91.396000
63462,39.420700,-91.664100
63467,39.650000,-91.270500
65239,39.511400,-92.440000
65243,39.281100,-92.342700
65244,39.426000,-92.667700
65257,39.305500,-92.516300
65259,39.435400,-92.553000
65260,39.579100,-92.431500
65270,39.420200,-92.435800
65278,39.341400,-92.411000
64017,39.204800,-94.025900
64035,39.350400,-93.840900
64036,39.236700,-93.936900
64062,39.440100,-94.196600
64077,39.211600,-94.123900
64084,39.385300,-94.028400
64085,39.279300,-93.979200
63625,37.547300,-90.991700
63629,37.477200,-91.192700
63633,37.428500,-90.975700
63638,37.239800,-90.958900
63654,37.482000,-90.842500
63665,37.320000,-90.898500
63666,37.400900,-91.073500
63931,36.661000,-90.850800
63935,36.650100,-90.810600
63939,36.670400,-90.633500
63942,36.562600,-91.070300
63953,36.584300,-90.612400
63955,36.587400,-90.692000
63301,38.801400,-90.506500
63302,38.783900,-90.481200
63303,38.762200,-90.547100
63304,38.737800,-90.623400
63332,38.572800,-90.881500
63338,38.746200,-90.654000
63341,38.661600,-90.830200
63346,38.750900,-90.536800
63348,38.762600,-90.934300
63365,38.716300,-90.875100
63366,38.823900,-90.742700
63367,38.793600,-90.785400
63368,38.751300,-90.729600
63373,38.925900,-90.386300
63376,38.780200,-90.622800
63385,38.802000,-90.853400
63386,38.875800,-90.238400
64724,38.184800,-94.022900
64738,37.881000,-93.660800
64763,38.140400,-93.711400
64776,38.028600,-93.753600
64781,37.972800,-93.812200
63627,38.045100,-90.280500
63670,37.865500,-90.175200
63673,37.832500,-89.977000
63036,37.996100,-90.400500
63087,37.999800,-90.440700
63601,37.849800,-90.488500
63624,37.753900,-90.598400
63626,38.054400,-90.627900
63628,37.923100,-90.555400
63637,37.734800,-90.496800
63640,37.777300,-90.409400
63651,37.675400,-90.367700
63653,37.857700,-90.587900
63005,38.631800,-90.614200
63006,38.663100,-90.577100
63011,38.609100,-90.559800
63017,38.649100,-90.535800
63021,38.577000,-90.525500
63022,38.595100,-90.546200
63024,38.595100,-90.546200
63025,38.512800,-90.630600
63026,38.501500,-90.468300
63031,38.806900,-90.340100
63032,38.638300,-90.427100
63033,38.794700,-90.283100
63034,38.833800,-90.293600
63038,38.587800,-90.663900
63040,38.566700,-90.631000
63042,38.780900,-90.366900
63043,38.722900,-90.447400
63044,38.750600,-90.416100
63045,38.768900,-90.466200
63074,38.725900,-90.386400
63088,38.557600,-90.492400
63099,38.638300,-90.427100
63105,38.645900,-90.326400
63114,38.702300,-90.364400
63117,38.629500,-90.334200
63119,38.589300,-90.348100
63121,38.707100,-90.305500
63122,38.578100,-90.425600
63123,38.547600,-90.324100
63124,38.637200,-90.377600
63125,38.522200,-90.302100
63126,38.549500,-90.381100
63127,38.535500,-90.407000
63128,38.491500,-90.377200
63129,38.456600,-90.328200
63130,38.666900,-90.322500
