zip,latitude,longitude
15234,40.368800,-80.022400
15235,40.459800,-79.822400
15236,40.335100,-79.983200
15237,40.548800,-80.047400
15238,40.534600,-79.880500
15239,40.483700,-79.738100
15240,40.434400,-80.024800
15241,40.332300,-80.081000
15242,40.434400,-80.024800
15243,40.374800,-80.073100
15244,40.434400,-80.024800
15250,40.434400,-80.024800
15251,40.434400,-80.024800
15252,40.434400,-80.024800
15253,40.434400,-80.024800
15254,40.434400,-80.024800
15255,40.434400,-80.024800
15257,40.434400,-80.024800
15258,40.434400,-80.024800
15259,40.434400,-80.024800
15260,40.443200,-79.953100
15261,40.434400,-80.024800
15262,40.434400,-80.024800
15264,40.434400,-80.024800
15265,40.434400,-80.024800
15267,40.434400,-80.024800
15268,40.434400,-80.024800
15270,40.434400,-80.024800
15272,40.434400,-80.024800
15274,40.434400,-80.024800
15275,40.449500,-80.179500
15276,40.434400,-80.024800
15277,40.434400,-80.024800
15278,40.434400,-80.024800
15279,40.434400,-80.024800
15281,40.434400,-80.024800
15282,40.440600,-79.995900
15283,40.434400,-80.024800
15286,40.434400,-80.024800
15289,40.444600,-79.945100
15290,40.434400,-80.024800
15295,40.463000,-80.010800
15656,40.634400,-79.620100
15673,40.593000,-79.558100
15682,40.684500,-79.661700
15686,40.615300,-79.454500
15736,40.692200,-79.342200
15774,40.638800,-79.319100
16049,41.100900,-79.688900
16201,40.815500,-79.510700
16210,40.904900,-79.507400
16212,40.753900,-79.579800
16218,40.923000,-79.594600
16222,40.874100,-79.268600
16223,40.969500,-79.356700
16226,40.738400,-79.512200
16228,40.760800,-79.535800
16229,40.703300,-79.663000
16236,40.781800,-79.521800
16238,40.786300,-79.521300
16244,40.847800,-79.451600
16245,41.007600,-79.295900
16249,40.788500,-79.299100
16250,40.777400,-79.233600
16253,40.954800,-79.342800
16259,40.941900,-79.449900
16261,40.961200,-79.467300
16262,40.837800,-79.629800
16263,40.800100,-79.334200
15001,40.592100,-80.319700
15003,40.600500,-80.210500
15005,40.641600,-80.198500
15009,40.697200,-80.336500
15010,40.768700,-80.359200
15027,40.664900,-80.234900
15042,40.683000,-80.214700
15043,40.574300,-80.490000
15050,40.562200,-80.438800
15052,40.667100,-80.415100
15059,40.679300,-80.490800
15061,40.671800,-80.291700
15066,40.739300,-80.297200
15074,40.715700,-80.260300
15077,40.632000,-80.414000
15081,40.576300,-80.238300
16115,40.796800,-80.455600
16123,40.812500,-80.207300
16136,40.834800,-80.328000
16141,40.856900,-80.393900
15521,40.185800,-78.620600
15522,39.990800,-78.526100
15533,39.990500,-78.245300
15534,39.922000,-78.699600
15535,39.853300,-78.439200
15537,40.009800,-78.371300
15539,40.121700,-78.585600
15545,39.804900,-78.733500
15550,39.980800,-78.642300
15554,40.125400,-78.618400
15559,40.048700,-78.648200
16633,40.160100,-78.234600
16650,40.119200,-78.312900
16655,40.206700,-78.522800
16659,40.160900,-78.375000
16664,40.200000,-78.425900
16667,40.169500,-78.520300
16670,40.259200,-78.507500
16672,40.162000,-78.254500
16678,40.223300,-78.247100
16679,40.157600,-78.210800
16694,40.166000,-78.138100
16695,40.218500,-78.366600
17211,39.757500,-78.403100
18056,40.449100,-75.549100
19503,40.405000,-75.576900
19504,40.381500,-75.574900
19505,40.379500,-75.625700
19506,40.455100,-76.124700
19507,40.480800,-76.274200
19508,40.256300,-75.834400
19510,40.443500,-75.883700
19511,40.482100,-75.743500
19512,40.333900,-75.660400
19516,40.485800,-76.006000
19518,40.270900,-75.739700
19519,40.319000,-75.733400
19522,40.447300,-75.818500
19523,40.202600,-75.836300
19526,40.548800,-75.987400
19529,40.632800,-75.851300
19530,40.521400,-75.777400
19533,40.415200,-75.994400
19534,40.573600,-75.865000
19535,40.335600,-75.801000
19536,40.521800,-75.741900
19538,40.542600,-75.688800
19539,40.499200,-75.687200
19540,40.258400,-75.983300
19541,40.478300,-76.012500
19543,40.155200,-75.899800
19544,40.418700,-76.294400
19545,40.339700,-75.630200
19547,40.383300,-75.770600
19548,40.282900,-75.690700
19550,40.455300,-76.245300
19551,40.355300,-76.136600
19554,40.512900,-76.104400
19555,40.495500,-75.960300
19559,40.494500,-76.182500
19560,40.402500,-75.904600
19562,40.502900,-75.701500
19564,40.524000,-75.873000
19565,40.329300,-76.090100
19567,40.374300,-76.198500
19601,40.346600,-75.935100
19602,40.330600,-75.919200
19603,40.388400,-75.963100
19604,40.350700,-75.914300
19605,40.388600,-75.932800
19606,40.335100,-75.875000
19607,40.299500,-75.987600
19608,40.311300,-76.034500
19609,40.328000,-75.990800
19610,40.338000,-75.978000
19611,40.325000,-75.944200
19612,40.438900,-75.885300
16601,40.520900,-78.408900
16602,40.505200,-78.390500
16603,40.501800,-78.410000
16617,40.603900,-78.337200
16625,40.282100,-78.508300
16631,40.275900,-78.338300
16635,40.426200,-78.438300
16637,40.328200,-78.447500
16648,40.438700,-78.368600
16662,40.295100,-78.324400
16665,40.393700,-78.435600
16673,40.327700,-78.392800
16682,40.271100,-78.458800
16684,40.636700,-78.303600
16686,40.661900,-78.241900
16693,40.402500,-78.255800
16910,41.705100,-76.828300
16914,41.863800,-76.782500
16925,41.956800,-76.771300
16926,41.697300,-76.721800
16945,41.805100,-76.856900
16947,41.778100,-76.771100
17724,41.653800,-76.858200
17735,41.614500,-76.867200
18810,41.949000,-76.488900
18814,41.781700,-76.605600
18815,41.731200,-76.234700
18817,41.864500,-76.625500
18829,41.843400,-76.179600
18831,41.896600,-76.532800
18832,41.713500,-76.487200
18833,41.598700,-76.439800
18837,41.863400,-76.301500
18840,41.984200,-76.521800
18845,41.771800,-76.171700
18846,41.604100,-76.259800
18848,41.763800,-76.464500
18850,41.840800,-76.487600
18851,41.939400,-76.196400
18853,41.701500,-76.275400
18854,41.782600,-76.383400
18039,40.575700,-75.223200
18077,40.578200,-75.219100
18081,40.556500,-75.289300
18901,40.305400,-75.148900
18902,40.347700,-75.096800
18910,40.425900,-75.179100
18911,40.369500,-75.248200
18912,40.323700,-75.059900
18913,40.386500,-75.062700
18914,40.289200,-75.214900
18916,40.354500,-75.132700
18917,40.375000,-75.204500
18920,40.508700,-75.080400
18921,40.533700,-75.178800
18922,40.292300,-75.059100
18923,40.357800,-75.171100
18925,40.294500,-75.064900
18927,40.323500,-75.254800
18928,40.336000,-75.042900
18929,40.256600,-75.096100
18930,40.531000,-75.211700
18931,40.328600,-75.102800
18932,40.288800,-75.255500
18933,40.328600,-75.102800
18934,40.349400,-75.067600
18935,40.437000,-75.398800
18938,40.355600,-74.983900
18940,40.263000,-74.955500
18942,40.459200,-75.157000
18943,40.269000,-75.009400
18944,40.376500,-75.264800
18946,40.296200,-75.005700
18947,40.426200,-75.107400
18949,40.388000,-75.142500
18950,40.422600,-75.066300
18951,40.441100,-75.350700
18953,40.515400,-75.161000
18954,40.216700,-75.002900
18955,40.479600,-75.314600
18956,40.262800,-75.015700
18960,40.362000,-75.319000
18962,40.344500,-75.268700
18963,40.380700,-75.008200
18966,40.186800,-75.007100
18968,40.439000,-75.437100
18970,40.410700,-75.378200
18972,40.541100,-75.125900
18974,40.206700,-75.090500
18976,40.246400,-75.135400
18977,40.284900,-74.877800
18980,40.274200,-75.020500
18981,40.484300,-75.393800
18991,40.328600,-75.102800
19007,40.115900,-74.853600
19020,40.110900,-74.937800
19021,40.093300,-74.899100
19030,40.174800,-74.851900
19047,40.181300,-74.910400
19048,40.173500,-74.924600
19049,40.174600,-74.922700
19053,40.154700,-74.990400
19054,40.168100,-74.823100
19055,40.148300,-74.837100
19056,40.151900,-74.882600
19057,40.143400,-74.861400
19058,40.155100,-74.828800
19067,40.208400,-74.829100
16001,40.885900,-79.934000
16002,40.840900,-79.859200
16003,40.861200,-79.895300
16016,41.108400,-79.898900
16017,40.921100,-79.927600
16018,40.921100,-79.927600
16020,41.109200,-79.904700
16021,41.072600,-79.985600
16022,41.057100,-79.729100
16023,40.792400,-79.760000
16024,40.740600,-80.036400
16025,40.945800,-79.746200
16027,40.817800,-80.014200
16029,40.877800,-79.846400
16030,41.134800,-79.798100
16033,40.780800,-80.059200
16034,40.855500,-79.737200
16035,41.106800,-80.007000
16037,40.849600,-80.138100
16038,41.163100,-79.979600
16039,40.830100,-79.811200
16040,41.100900,-79.821500
16041,41.002200,-79.716000
16045,40.852800,-79.916700
16046,40.700500,-80.035800
16048,41.047200,-79.808900
16050,41.044200,-79.771100
16051,40.946800,-80.139000
16052,40.904900,-80.067900
16053,40.810000,-79.977000
16055,40.714300,-79.742400
16056,40.736100,-79.835200
16057,41.045400,-80.046800
16059,40.701800,-79.923500
16061,41.002600,-79.875100
16063,40.760900,-80.109400
16066,40.685000,-80.107100
15714,40.666100,-78.792000
15722,40.589100,-78.703700
15737,40.607600,-78.752400
15738,40.694800,-78.787000
15760,40.652200,-78.805400
15762,40.601600,-78.811400
15773,40.629800,-78.732900
15775,40.635100,-78.769200
15901,40.326000,-78.914100
15902,40.307800,-78.896900
15904,40.285000,-78.865400
15905,40.307200,-78.943000
15906,40.352200,-78.938300
15907,40.325400,-78.915100
15909,40.409600,-78.871200
15915,40.326700,-78.922000
15921,40.317300,-78.700900
15922,40.517600,-78.876700
15925,40.408500,-78.640700
15927,40.538300,-78.786500
15930,40.293900,-78.719200
15931,40.480100,-78.726300
15934,40.279900,-78.803200
15938,40.423800,-78.623100
15940,40.510500,-78.629400
15942,40.379300,-78.835200
15943,40.470400,-78.837500
15945,40.361200,-78.870900
15946,40.372400,-78.632800
15948,40.490000,-78.764600
15951,40.337000,-78.770900
15952,40.298600,-78.781600
