zip,latitude,longitude
25701,38.409700,-82.442300
25702,38.428600,-82.391100
25703,38.421100,-82.422700
25704,38.384900,-82.503600
25705,38.409600,-82.369000
25706,38.413400,-82.277400
25707,38.413400,-82.277400
25708,38.419200,-82.445200
25710,38.419200,-82.445200
25711,38.413400,-82.277400
25712,38.413400,-82.277400
25713,38.413400,-82.277400
25714,38.413400,-82.277400
25715,38.413400,-82.277400
25716,38.413400,-82.277400
25717,38.419200,-82.445200
25718,38.419200,-82.445200
25719,38.419200,-82.445200
25720,38.413400,-82.277400
25721,38.419200,-82.445200
25722,38.419200,-82.445200
25723,38.419200,-82.445200
25724,38.419200,-82.445200
25725,38.413400,-82.277400
25726,38.413400,-82.277400
25727,38.413400,-82.277400
25728,38.413400,-82.277400
25729,38.413400,-82.277400
25755,38.422100,-82.431700
25770,38.413400,-82.277400
25771,38.413400,-82.277400
25772,38.413400,-82.277400
25773,38.413400,-82.277400
25774,38.413400,-82.277400
25775,38.413400,-82.277400
25776,38.413400,-82.277400
25777,38.413400,-82.277400
25778,38.413400,-82.277400
25779,38.413400,-82.277400
25234,38.822700,-81.155100
25235,38.668600,-81.094400
25261,38.801500,-81.096200
25268,38.748100,-81.099800
26136,38.971900,-81.136000
26137,38.985400,-81.072100
26147,38.932400,-81.076300
26151,38.828600,-81.132200
25019,38.372900,-81.086800
25030,38.449800,-81.232300
25043,38.476400,-81.069600
25063,38.564700,-80.976400
25088,38.394300,-81.242600
25111,38.349800,-81.126900
25113,38.535700,-81.034800
25125,38.336600,-81.163300
25133,38.493900,-81.122700
25141,38.627100,-81.025700
25164,38.491200,-81.198900
25211,38.466200,-80.857300
25285,38.543200,-81.111400
26617,38.489000,-80.825700
26339,39.412500,-80.635200
26411,39.189900,-80.707600
26436,39.289300,-80.734300
26456,39.276200,-80.791100
25002,38.137600,-81.274300
25031,38.151900,-81.265600
25036,38.194300,-81.295900
25040,38.123700,-81.234000
25057,38.126800,-81.263700
25085,38.168900,-81.196000
25090,38.153200,-81.214800
25115,38.142600,-81.206500
25118,38.124900,-81.321700
25119,38.040700,-81.270100
25136,38.172500,-81.322200
25139,38.139900,-81.293100
25152,38.052900,-81.269800
25161,38.099000,-81.324000
25173,38.097300,-81.248800
25185,38.237900,-81.233400
25186,38.181200,-81.307100
25812,38.136900,-81.095500
25831,37.956700,-80.937900
25833,38.041300,-81.064800
25837,38.054400,-81.032600
25840,38.064000,-81.094300
25846,37.926500,-81.150100
25854,38.109400,-80.963800
25855,37.942900,-81.150900
25862,38.086900,-81.058800
25864,37.889300,-80.971200
25866,38.010700,-81.145100
25868,38.065400,-80.968400
25879,37.975800,-81.115000
25880,37.878200,-81.205800
25888,37.893000,-81.166800
25901,37.972300,-81.148700
25904,37.911000,-81.264800
25907,37.853200,-81.081700
25917,37.948800,-81.153100
25936,37.955400,-81.071400
25938,38.140200,-81.032200
25942,38.046500,-80.992300
25976,37.878000,-80.852100
25986,37.879800,-80.803400
26680,38.110700,-80.877000
25267,38.880200,-80.941900
26342,39.030100,-80.849800
26351,38.940900,-80.831300
26384,38.957300,-80.730000
26430,38.914000,-80.749800
26443,39.083900,-80.754900
